rank,school,power_rating,strength_factor,wins,losses,district,division,select_status,season_year
1,Ruston,14.40,11.40,8,2,2,I,Non-Select,2025
2,Neville,14.20,11.60,7,3,2,I,Non-Select,2025
3,Destrehan,14.00,11.00,8,2,8,I,Non-Select,2025
4,Denham Springs,13.39,9.90,8,2,5,I,Non-Select,2025
5,Central - B.R.,13.32,9.60,8,2,4,I,Non-Select,2025
6,Parkway,13.24,8.90,9,1,1,I,Non-Select,2025
7,Northwood - Shrev.,13.16,9.00,8,2,1,I,Non-Select,2025
8,Southside,13.10,9.50,8,2,3,I,Non-Select,2025
9,Terrebonne,13.09,10.20,7,3,8,I,Non-Select,2025
10,West Monroe,12.80,10.40,7,3,2,I,Non-Select,2025
11,Hahnville,12.60,9.10,8,2,8,I,Non-Select,2025
12,East Ascension,12.49,10.30,7,3,5,I,Non-Select,2025
13,Zachary,12.48,10.56,6,3,4,I,Non-Select,2025
14,Ouachita Parish,12.40,10.70,6,4,2,I,Non-Select,2025
15,Thibodaux,12.40,8.90,8,2,8,I,Non-Select,2025
16,Westgate,11.90,9.60,6,4,4,I,Non-Select,2025
17,Airline,11.80,9.50,7,3,1,I,Non-Select,2025
18,Mandeville,11.47,10.10,6,4,6,I,Non-Select,2025
19,St. Amant,11.45,9.00,7,3,5,I,Non-Select,2025
20,Salmen,11.21,9.90,6,4,7,I,Non-Select,2025
21,West Ouachita,11.18,8.30,6,4,2,I,Non-Select,2025
22,Slidell,10.90,9.60,6,4,7,I,Non-Select,2025
23,South Lafourche,10.74,8.90,6,4,8,I,Non-Select,2025
24,Natchitoches Central,10.53,9.30,6,4,1,I,Non-Select,2025
25,Prairieville,10.38,9.00,5,5,5,I,Non-Select,2025
26,Barbe,10.30,9.90,5,5,3,I,Non-Select,2025
27,Covington,10.21,8.70,6,4,6,I,Non-Select,2025
28,Dutchtown,10.15,9.11,5,4,5,I,Non-Select,2025
29,Chalmette,9.94,8.50,6,4,7,I,Non-Select,2025
30,H.L. Bourgeois,9.90,8.80,5,5,8,I,Non-Select,2025
31,Northshore,9.38,11.10,3,7,7,I,Non-Select,2025
32,Live Oak,9.17,10.44,3,6,5,I,Non-Select,2025
33,Sam Houston,8.60,10.40,3,7,3,I,Non-Select,2025
34,East St. John,7.87,11.50,1,9,8,I,Non-Select,2025
35,Benton,7.60,10.40,2,8,1,I,Non-Select,2025
36,Central Lafourche,7.50,9.90,2,8,8,I,Non-Select,2025
37,Fontainebleau,7.12,9.50,2,8,7,I,Non-Select,2025
38,Sulphur,7.10,9.70,2,8,3,I,Non-Select,2025
39,Haughton,7.00,9.50,2,8,1,I,Non-Select,2025
40,Walker,6.59,10.40,1,9,5,I,Non-Select,2025
41,New Iberia,4.80,9.70,0,10,3,I,Non-Select,2025
1,North DeSoto,15.63,9.30,10,0,1,II,Non-Select,2025
2,Iowa,14.30,7.90,10,0,3,II,Non-Select,2025
3,Belle Chasse,14.18,8.40,9,1,9,II,Non-Select,2025
4,Lakeshore,14.01,9.20,8,2,7,II,Non-Select,2025
5,Plaquemine,13.87,8.60,9,1,6,II,Non-Select,2025
6,Brusly,13.70,8.50,9,1,6,II,Non-Select,2025
7,Franklin Parish,13.24,8.40,8,2,2,II,Non-Select,2025
8,Franklinton,12.84,9.20,7,3,7,II,Non-Select,2025
9,Jennings,12.50,8.60,7,3,3,II,Non-Select,2025
10,Lutcher,11.80,9.60,6,4,8,II,Non-Select,2025
11,West Feliciana,11.60,9.40,6,4,6,II,Non-Select,2025
12,Minden,10.93,9.40,5,5,1,II,Non-Select,2025
13,Cecilia,10.72,8.56,5,4,5,II,Non-Select,2025
14,Pearl River,10.44,9.22,4,5,7,II,Non-Select,2025
15,Northwest,10.40,7.60,6,4,4,II,Non-Select,2025
16,DeRidder,10.20,8.60,5,5,3,II,Non-Select,2025
17,Eunice,10.10,9.40,4,6,3,II,Non-Select,2025
18,South Terrebonne,9.92,8.30,5,5,8,II,Non-Select,2025
19,Opelousas,9.82,9.89,3,6,5,II,Non-Select,2025
20,Carroll,9.79,7.67,4,5,1,II,Non-Select,2025
21,Wossman,9.62,9.10,4,6,2,II,Non-Select,2025
22,Bossier,9.47,8.60,4,6,1,II,Non-Select,2025
23,Iota,9.40,8.10,4,6,4,II,Non-Select,2025
24,St. Martinville,9.36,9.20,3,7,5,II,Non-Select,2025
25,Rayne,9.01,8.70,4,6,4,II,Non-Select,2025
26,Abbeville,8.70,8.60,3,7,5,II,Non-Select,2025
